
--- Summary for  Sizing at 2 ---

--- Top 30 Win/Loss Data ---
Player ID: 2, Win/Loss: 708289, Bid Count: 2400571, Rate 1: 1, Rate 2: 2
Player ID: 2, Win/Loss: 693433, Bid Count: 2234022, Rate 1: 1, Rate 2: 3
Player ID: 2, Win/Loss: 687066, Bid Count: 2902476, Rate 1: 1, Rate 2: 1
Player ID: 2, Win/Loss: 671982, Bid Count: 2150272, Rate 1: 1, Rate 2: 4
Player ID: 2, Win/Loss: 646474, Bid Count: 2099641, Rate 1: 1, Rate 2: 5
Player ID: 2, Win/Loss: 640017, Bid Count: 2466357, Rate 1: 2, Rate 2: 3
Player ID: 2, Win/Loss: 632076, Bid Count: 2799058, Rate 1: 2, Rate 2: 2
Player ID: 2, Win/Loss: 629849, Bid Count: 2300379, Rate 1: 2, Rate 2: 4
Player ID: 2, Win/Loss: 620133, Bid Count: 2067305, Rate 1: 1, Rate 2: 6
Player ID: 2, Win/Loss: 614684, Bid Count: 2200613, Rate 1: 2, Rate 2: 5
Player ID: 2, Win/Loss: 595308, Bid Count: 2133483, Rate 1: 2, Rate 2: 6
Player ID: 2, Win/Loss: 593968, Bid Count: 2042838, Rate 1: 1, Rate 2: 7
Player ID: 2, Win/Loss: 587850, Bid Count: 2450136, Rate 1: 3, Rate 2: 4
Player ID: 2, Win/Loss: 583589, Bid Count: 2700717, Rate 1: 3, Rate 2: 3
Player ID: 2, Win/Loss: 580732, Bid Count: 2299127, Rate 1: 3, Rate 2: 5
Player ID: 2, Win/Loss: 576072, Bid Count: 2085693, Rate 1: 2, Rate 2: 7
Player ID: 2, Win/Loss: 570313, Bid Count: 2200057, Rate 1: 3, Rate 2: 6
Player ID: 2, Win/Loss: 567795, Bid Count: 2024913, Rate 1: 1, Rate 2: 8
Player ID: 2, Win/Loss: 560856, Bid Count: 3803120, Rate 1: 2, Rate 2: 1
Player ID: 2, Win/Loss: 556926, Bid Count: 3200986, Rate 1: 3, Rate 2: 2
Player ID: 2, Win/Loss: 556688, Bid Count: 2127930, Rate 1: 3, Rate 2: 7
Player ID: 2, Win/Loss: 555384, Bid Count: 2049901, Rate 1: 2, Rate 2: 8
Player ID: 2, Win/Loss: 546307, Bid Count: 2399447, Rate 1: 4, Rate 2: 5
Player ID: 2, Win/Loss: 543864, Bid Count: 2266439, Rate 1: 4, Rate 2: 6
Player ID: 2, Win/Loss: 543409, Bid Count: 2599636, Rate 1: 4, Rate 2: 4
Player ID: 2, Win/Loss: 542598, Bid Count: 2075400, Rate 1: 3, Rate 2: 8
Player ID: 2, Win/Loss: 540862, Bid Count: 2011107, Rate 1: 1, Rate 2: 9
